#;German;English;German example sentence;English translation;Category;Masri;Gender;Conjugation;English in sentence;_1;_2;_3
2755;Entfernung;distance;Die Entfernung ist echt zu groß.;The distance is really too great.;noun;مسافة;f;;distance;;;
2756;anonym;anonymous;Der Brief war echt anonym.;The letter was really anonymous.;adjective;مجهول;;;anonymous;;;
2757;Benjamin;Benjamin (name);Benjamin ist mein Freund.;Benjamin is my friend.;noun;بنجامين;;;Benjamin;;;
2758;wegfahren;to drive away / leave;Wir fahren morgen weg.;We’re leaving tomorrow.;verb;يمشي بالعربية / يسافر;;fahren;leaving;;;
2759;Ausweg;way out;Ich sehe keinen Ausweg.;I see no way out.;noun;مخرج / حل;m;;way out;;;
2760;Hai;shark;Ein Hai schwimmt im Wasser.;A shark is swimming in the water.;noun;قرش;m;;shark;;;
2761;eklig;yucky;Das Essen war eklig.;The food was disgusting.;adjective;مقرف;;;disgusting;;;
2762;leine;leash;Der Hund ist echt an der Leine.;The dog is really on the leash.;noun;سلسلة / حبل كلب;f;;leash;;;
2763;Drama;drama;Das war echt ein großes Drama.;That was really a big drama.;noun;دراما;n;;drama;;;
2764;Klavier;piano;Sie spielt Klavier.;She plays piano.;noun;بيانو;n;;piano;;;
2765;schütteln;to shake;Er schüttelt den Kopf.;He shakes his head.;verb;يهزّ;;schüttelt;shakes;;;
2766;überwältigt;overwhelmed;Ich bin völlig überwältigt.;I am completely overwhelmed.;adjective;مندهش / مغلوب;;;overwhelmed;;;
2767;Ausbildung;training / education;Sie macht eine Ausbildung.;She is doing vocational training.;noun;تدريب / دراسة مهنية;f;;training;;;
2768;anpassen;to adjust / adapt;Wir müssen den Plan anpassen.;We must adjust the plan.;verb;يكيّف / يظبط;;;adjust;;;
2769;Sebastian;Sebastian (name);Sebastian kommt später.;Sebastian is coming later.;noun;سيباستيان;;;Sebastian;;;
2770;besagt;states / says;Das Gesetz besagt etwas anderes.;The law says something else.;verb;بيقول / مفاده;;;says;;;
2771;braten;to fry / roast;Ich brate das Fleisch.;I’m frying the meat.;verb;يشوي;;brate;frying;;;
2772;Anspruch;claim / entitlement;Er hat keinen Anspruch darauf.;He has no claim to it.;noun;حق / مطالبة;m;;claim;;;
2773;Enkel;grandson;Mein Enkel ist fünf Jahre alt.;My grandson is five years old.;noun;حفيد;m;;grandson;;;
2774;Franz;Franz (name);Franz ist heute nicht da.;Franz is not here today.;noun;فرانتس;;;Franz;;;
2775;aufmerksam;attentive;Er hört aufmerksam zu.;He listens attentively.;adjective;مركّز / مهتم;;;attentively;;;
2776;verheimlichen;to hide / conceal;Sie verheimlicht etwas.;She is hiding something.;verb;يخبي;;verheimlicht;hiding;;;
2777;ernte;harvest;Die Ernte war echt dieses Jahr gut.;The harvest was really good this year.;noun;حصاد;f;;harvest;;;
2778;jegliche;any / all;Jegliche Hilfe wurde abgelehnt.;Any help was refused.;adjective;أيّ;;;Any;;;
2779;Bedürfnisse;needs;Jeder hat unterschiedliche Bedürfnisse.;Everyone has different needs.;noun;احتياجات;n;;needs;;;
2780;zurückhalten;to hold back;Er konnte sich nicht zurückhalten.;He couldn’t hold himself back.;verb;يمسك نفسه / يحتفظ;;;hold;;;
2781;Geständnis;confession;Er hat wirklich ein Geständnis abgelegt.;He really made a confession.;noun;اعتراف;n;;confession;;;
2782;einrichten;to set up / furnish;Wir richten die Wohnung ein.;We are furnishing the apartment.;verb;يجهّز / يظبط;;richten;furnishing;;;
2783;allzu;too / overly;Mach dir nicht allzu viele Sorgen.;Don’t worry too much.;adverb;زيادة عن اللزوم;;;too;;;
2784;Therapie;therapy;Er beginnt eine Therapie.;He is starting therapy.;noun;علاج;f;;therapy;;;
2785;angeheuert;hired;Er wurde gerade für den Job angeheuert.;He was hired for the job just now.;verb;اشتغل / اتعيّن;;;hired;;;
2786;Gewinner;winner;Der Gewinner bekommt einen Preis.;The winner gets a prize.;noun;فايز;m;;winner;;;
2787;Gegenwart;present (time);Wir leben in der Gegenwart.;We live in the present.;noun;حاضر;f;;present;;;
2788;Märchen;fairy tale;Das ist echt wie ein Märchen.;That's really like a fairy tale.;noun;حكاية;n;;fairy tale;;;
2789;schockiert;shocked;Ich bin schockiert über die Nachrichten.;I’m shocked by the news.;adjective;مصدوم;;;shocked;;;
2790;eingreifen;to intervene;Die Polizei musste eingreifen.;The police had to intervene.;verb;يتدخل;;;intervene;;;
2791;gedemütigt;humiliated;Er fühlte sich gedemütigt.;He felt humiliated.;adjective;متهان;;;humiliated;;;
2792;gründlich;thorough;Bitte arbeite gründlich.;Please work thoroughly.;adjective;بشكل دقيق;;;thoroughly;;;
2793;Socken;socks;Ich habe neue Socken gekauft.;I bought new socks.;noun;شرابات;f;;socks;;;
2794;betteln;to beg;Er bettelt um Geld.;He begs for money.;verb;يشحت / يتوسّل;;bettelt;begs;;;
2795;allgemeinen;generally;Im Allgemeinen stimmt das.;In general, that is true.;adverb;عام;;;In general;;;
2796;zuständig;responsible / in charge;Ich bin für das Projekt zuständig.;I am responsible for the project.;adjective;مسؤول;;;responsible;;;
2797;wesentlich;essential / significant;Das ist ein wesentlicher Punkt.;That is an essential point.;adjective;أساسي;;;essential;;;
2798;Diebstahl;theft;Der Diebstahl wurde gerade gemeldet.;The theft was reported just now.;noun;سرقة;m;;theft;;;
2799;Owen;Owen (name);Owen kommt später dazu.;Owen will join later.;noun;أوين;;;Owen;;;
2800;bezüglich;regarding / concerning;Bezüglich deiner Frage: Ja, es stimmt.;Regarding your question: yes, it’s true.;adverb;بخصوص;;;Regarding;;;
2801;Hauptsache;the main thing;Hauptsache, du bist glücklich.;The main thing is that you're happy.;noun;الأهم;f;;The main thing;;;
2802;aufgezogen;raised / teased;Er wurde gerade streng aufgezogen.;He was raised strictly just now.;verb;اتربّى / اتسحب;;;raised;;;
2803;Patientin;female patient;Die Patientin wartet im Zimmer.;The female patient is waiting in the room.;noun;مريضة;f;;female patient;;;
2804;knurrt;growls;Der Hund knurrt leise.;The dog growls quietly.;verb;بيزمجر;;;growls;;;
2805;einschlagen;to smash / to choose (path);Er hat die Scheibe eingeschlagen.;He smashed the window.;verb;يكسر / يختار;;eingeschlagen;smashed;;;
2806;beziehen;to obtain / refer to;Wir beziehen Strom aus Solarenergie.;We obtain electricity from solar energy.;verb;يستند على / يستلم;;;obtain;;;
2807;verwechselt;confused / mixed up;Er hat die Namen verwechselt.;He mixed up the names.;verb;اتلخبط / بدّل;;;mixed up;;;
2808;Köder;bait;Der Köder hat funktioniert.;The bait worked.;noun;طُعم;m;;bait;;;
2809;Nebel;fog;Der Nebel ist heute sehr dicht.;The fog is very thick today.;noun;شبورة;m;;fog;;;
2810;gütiger;kinder / more gracious;Du bist heute viel gütiger als sonst.;You are much kinder than usual today.;adjective;طيّب;;;kinder;;;
2811;Mac;Mac (name);Mac ist schon unterwegs.;Mac is already on the way.;noun;ماك;;;Mac;;;
2812;Tempo;speed / pace;Er läuft in einem schnellen Tempo.;He runs at a fast pace.;noun;سرعة;n;;pace;;;
2813;Whisky;whiskey;Er trinkt gern Whisky.;He likes drinking whiskey.;noun;ويسكي;m;;whiskey;;;
2814;Burg;castle / fortress;Die Burg steht auf einem Hügel.;The castle stands on a hill.;noun;قلعة;f;;castle;;;
2815;Elefanten;elephants;Elefanten sind sehr intelligent.;Elephants are very intelligent.;noun;فيلة;m;;Elephants;;;
2816;sozusagen;so to speak;Er ist echt sozusagen ihr Mentor.;He is really, so to speak, her mentor.;adverb;يعني كده / تقريباً;;;so to speak;;;
2817;nebenbei;by the way / on the side;Nebenbei arbeitet sie als Fotografin.;She works as a photographer on the side.;adverb;على جنب / في نفس الوقت;;;on the side;;;
2818;Furcht;fear;Er hatte große Furcht vor der Prüfung.;He had great fear of the exam.;noun;خوف;f;;fear;;;
2819;September;September;Im September beginnt die Schule.;School starts in September.;noun;سبتمبر;m;;September;;;
2820;Magazin;magazine;Ich lese ein interessantes Magazin.;I’m reading an interesting magazine.;noun;مجلة;n;;magazine;;;
2821;Indien;India;Sie reisen nach Indien.;They are traveling to India.;noun;الهند;n;;India;;;
2822;Instinkt;instinct;Sein Instinkt war richtig.;His instinct was right.;noun;غريزة;m;;instinct;;;
2823;geheimnisvolle;mysterious;Eine geheimnisvolle Stimme rief meinen Namen.;A mysterious voice called my name.;adjective;غ mysterious / غامضة;;;mysterious;;;
2824;Jennifer;Jennifer;Jennifer kommt später vorbei.;Jennifer is coming by later.;noun;جينيفر;;;Jennifer;;;
2825;vergeuden;to waste (dramatic/literature);Verschwende deine Zeit nicht.;Don’t waste your time.;verb;يضيع;;Verschwende;waste;;;
2826;Dankeschön;thank you;Ein großes Dankeschön an alle!;A big thank you to everyone!;vocab;شكراً;;;thank you;;;
2827;stumm;mute / silent;Er blieb stumm und sagte nichts.;He stayed silent and said nothing.;adjective;أخرس / ساكت;;;silent;;;
2828;Entführung;kidnapping;Die Entführung dauerte mehrere Tage.;The kidnapping lasted several days.;noun;خطف;f;;kidnapping;;;
2829;Etage;floor / level;Wir wohnen in der dritten Etage.;We live on the third floor.;noun;دور;f;;floor;;;
2830;Serie;series;Ich schaue eine neue Serie.;I’m watching a new series.;noun;مسلسل / سلسلة;f;;series;;;
2831;womöglich;possibly / maybe;Er kommt womöglich später.;He may come later.;adverb;يمكن;;;may;;;
2832;andauernd;continuously;Sie beschwert sich andauernd.;She complains constantly.;adverb;طول الوقت;;;constantly;;;
2833;Gangster;gangster;Die Gangster sind echt entkommen.;The gangsters really escaped.;noun;بلطجي / جانجستر;m;;gangsters;;;
2834;Diskussion;discussion;Die Diskussion wurde gerade hitzig.;The discussion became heated just now.;noun;نقاش;f;;discussion;;;
2835;federn;feathers;Der Vogel verliert Federn.;The bird is losing feathers.;noun;ريش / يِطرّي;f;;feathers;;;
2836;legal;legal;Das ist völlig legal.;This is completely legal.;adjective;قانوني;;;legal;;;
2837;Motel;motel;Wir übernachten in einem kleinen Motel.;We are staying in a small motel.;noun;موتيل;n;;motel;;;
2838;Adrian;Adrian;Adrian wartet draußen.;Adrian is waiting outside.;noun;أدريان;;;Adrian;;;
2839;beichte;confession (religious);Er legt eine Beichte ab.;He makes a confession.;noun;اعتراف;f;;confession;;;
2840;absurd;absurd;Das klingt völlig absurd.;That sounds completely absurd.;adjective;عبثي;;;absurd;;;
2841;blutigen;bloody;Er trug eine blutige Jacke.;He wore a bloody jacket.;adjective;دموي;;blutige;bloody;;;
2842;glänzend;shiny / brilliant;Der Boden ist echt glänzend sauber.;The floor is really shining clean.;adjective;لامع;;;shining;;;
2843;reserviert;reserved;Der Tisch ist echt reserviert.;The table is really reserved.;adjective;محجوز / رسمي;;;reserved;;;
2844;untergehen;to sink / go down;Die Sonne geht unter.;The sun is setting.;verb;يغرق / يضيع;;geht;setting;;;
2845;Boy;Boy / guy (loanword);Der Boy arbeitet im Café.;The boy works at the café.;noun;ولد;m;;boy;;;
2846;Betrüger;fraud / scammer;Der Betrüger wurde gerade gefasst.;The scammer was caught just now.;noun;نصّاب;m;;scammer;;;
2847;einmischen;to interfere;Misch dich nicht ein!;Don’t interfere!;verb;يتدخل;;Misch;interfere;;;
2848;Batterie;battery;Die Batterie ist echt leer.;The battery is really empty.;noun;بطارية;f;;battery;;;
2849;Schnaps;liquor / schnapps;Er trinkt einen Schnaps.;He drinks a schnapps.;noun;مشروب قوي;m;;schnapps;;;
2850;Episode;episode;Ich habe die neue Episode gesehen.;I watched the new episode.;noun;حلقة;f;;episode;;;
2851;Telefonnummer;phone number;Wie ist deine Telefonnummer?;What’s your phone number?;noun;رقم تليفون;f;;phone number;;;
2852;finanzielle;financial;Ich nehme lieber die finanzielle Option.;I'd rather take the financial option.;adjective;مالية;;;financial;;;
2853;Verlierer;loser;Er fühlt sich wie ein Verlierer.;He feels like a loser.;noun;خاسر;m;;loser;;;
2854;Front;front / frontline;Die Front rückt vor.;The front is advancing.;noun;جبهة;f;;front;;;
2855;faden;thread;Der Faden ist gerissen.;The thread snapped.;noun;ممل;m;;thread;;;
2856;unnötig;unnecessary;Das war völlig unnötig.;That was completely unnecessary.;adjective;ملوش لازمة;;;unnecessary;;;
2857;feucht;moist / damp;Die Luft ist heute sehr feucht.;The air is very humid today.;adjective;رطب;;;humid;;;
2858;Oscar;Oscar (name/award);Er hat wirklich einen Oscar gewonnen.;He really won an Oscar.;noun;أوسكار;;;Oscar;;;
2859;wurm;worm;Ein Wurm kriecht im Boden.;A worm crawls in the ground.;noun;دودة;m;;worm;;;
2860;ernähren;to nourish / feed;Vögel ernähren ihre Jungen gut.;Birds nourish their young well.;verb;يغذّي;;;nourish;;;
2861;aufrichtig;sincere;Ich danke dir aufrichtig.;I sincerely thank you.;adjective;صادق;;;sincerely;;;
2862;ausnutzen;to take advantage of;Lass dich nicht ausnutzen.;Don’t let people take advantage of you.;verb;يستغل;;;take advantage of;;;
2863;Existenz;existence;Ihre Existenz war bedroht.;Her existence was threatened.;noun;وجود / معيشة;f;;existence;;;
2864;Nazis;Nazis;Die Nazis verfolgten viele Menschen.;The Nazis persecuted many people.;noun;نازيين;m;;Nazis;;;
2865;Rettung;rescue;Die Rettung kam rechtzeitig.;The rescue arrived in time.;noun;إنقاذ;f;;rescue;;;
2866;Brieftasche;wallet;Ich habe meine Brieftasche verloren.;I lost my wallet.;noun;محفظة;f;;wallet;;;
2867;jüdischen;Jewish;Er untersucht jüdischen Ursprung.;He studies Jewish origins.;adjective;يهودي;;;Jewish;;;
2868;stopfen;to stuff / plug;Er stopft das Loch mit Papier.;He plugs the hole with paper.;verb;يحشي;;stopft;plugs;;;
2869;Zentrum;center;Wir treffen uns im Zentrum.;We meet in the city center.;noun;مركز;n;;center;;;
2870;Kofferraum;trunk (of a car);Der Kofferraum ist echt voll.;The trunk is really full.;noun;شنطة العربية;m;;trunk;;;
2871;Tara;Tara (name);Tara ruft später an.;Tara will call later.;noun;تارا;;;Tara;;;
2872;Apparat;device / apparatus;Der Apparat funktioniert nicht.;The device isn’t working.;noun;جهاز;m;;device;;;
2873;Ozean;ocean;Der Ozean ist heute ruhig.;The ocean is calm today.;noun;محيط;m;;ocean;;;
2874;Zaun;fence;Der Hund springt über den Zaun.;The dog jumps over the fence.;noun;سور / سياج;m;;fence;;;
2875;Mönch;monk;Der Mönch lebt im Kloster.;The monk lives in the monastery.;noun;راهب;m;;monk;;;
2876;militärische;military;Ich nehme lieber die militärische Option.;I'd rather take the military option.;adjective;عسكرية;;;military;;;
2877;vorlesen;to read aloud;Sie liest den Kindern eine Geschichte vor.;She reads a story aloud to the children.;verb;يقرأ بصوت عالي;;vor;aloud;;;
2878;einschalten;to switch on;Schalt bitte das Licht ein.;Please switch on the light.;verb;يشغّل;;Schalt;switch on;;;
2879;Persönlichkeit;personality;Sie hat wirklich eine starke Persönlichkeit.;She really has a strong personality.;noun;شخصية;f;;personality;;;
2880;lediglich;only / merely;Es war lediglich ein Vorschlag.;It was merely a suggestion.;adverb;بس / فقط;;;merely;;;
2881;enorm;enormous;Der Schaden ist echt enorm.;The damage is really enormous.;adjective;هائل;;;enormous;;;
2882;Juni;June;Im Juni fahren wir in den Urlaub.;We go on vacation in June.;noun;يونيو;m;;June;;;
2883;Wächter;guard;Der Wächter öffnet das Tor.;The guard opens the gate.;noun;حارس;m;;guard;;;
2884;absichtlich;intentional(ly);Er hat das gerade absichtlich gemacht.;He did that intentionally just now.;adjective;عن قصد;;;intentionally;;;
2885;Japaner;Japanese (male);Der Japaner spricht Deutsch.;The Japanese man speaks German.;noun;ياباني;m;;Japanese;;;
2886;angemacht;turned on / hit on;Er hat das Radio gerade angemacht.;He just turned on the radio.;verb;غازله / فتح كلام;;;turned on;;;
2887;bedeckt;covered;Der Himmel ist echt bedeckt.;The sky is really overcast.;adjective;مغطّى;;;overcast;;;
2888;letztendlich;ultimately / in the end;Letztendlich hatten sie recht.;In the end, they were right.;adverb;في النهاية;;;In the end;;;
2889;vereinbart;agreed / arranged (formal);Wir haben einen Termin vereinbart.;We arranged an appointment.;verb;متفق عليه;;;arranged;;;
2890;Gemälde;painting;Das Gemälde ist echt wertvoll.;The painting is really valuable.;noun;لوحة;n;;painting;;;
2891;wissenschaftliche;scientific;Ich nehme lieber die wissenschaftliche Option.;I'd rather take the scientific option.;adjective;علمية;;;scientific;;;
2892;Spaziergang;walk / stroll;Wir machen einen Spaziergang im Park.;We are taking a walk in the park.;noun;مشوار / تمشية;m;;walk;;;
2893;erpressen;to blackmail;Er versucht, ihn zu erpressen.;He is trying to blackmail him.;verb;يبتز;;;blackmail;;;
2894;ohnmächtig;faint / powerless;Sie wurde gerade ohnmächtig.;She fainted just now.;adjective;مغمى عليه;;;fainted;;;
2895;Zirkus;circus;Der Zirkus kommt in die Stadt.;The circus is coming to town.;noun;سيرك;m;;circus;;;
2896;Frosch;frog;Ein Frosch sprang ins Wasser.;A frog jumped into the water.;noun;ضفدع;m;;frog;;;
2897;angebracht;appropriate / attached;Das wäre jetzt nicht angebracht.;That wouldn’t be appropriate right now.;adjective;مناسب;;;appropriate;;;
2898;original;original;Das ist ein originales Gemälde.;That is an original painting.;adjective;أصلي;;;original;;;
2899;ungeheuer;enormous / tremendous;Das ist echt eine ungeheure Leistung.;That is really an enormous achievement.;adjective;فظيع / وحش;;ungeheure;enormous;;;
2900;Journalist;journalist;Der Journalist stellt viele Fragen.;The journalist asks many questions.;noun;صحفي;m;;journalist;;;
2901;Tragödie;tragedy;Der Unfall war echt eine Tragödie.;The accident was really a tragedy.;noun;مأساة;f;;tragedy;;;
2902;verängstigt;frightened / scared;Das Kind war echt verängstigt.;The child was really frightened.;adjective;خايف;;;frightened;;;
2903;bewusstlos;unconscious;Er lag bewusstlos am Boden.;He lay unconscious on the ground.;adjective;فاقد الوعي;;;unconscious;;;
2904;Blödmann;idiot (insult);Sei kein Blödmann!;Don’t be an idiot!;noun;غبي;m;;idiot;;;
2905;aufklären;to clarify / enlighten;Der Arzt klärt den Patienten auf.;The doctor clarifies things for the patient.;verb;يوضح / يكشف;;klärt;clarifies;;;
2906;Krankenstation;infirmary / hospital wing;Er liegt auf der Krankenstation.;He is in the infirmary.;noun;عنبر / قسم مستشفى;f;;infirmary;;;
2907;Verständnis;understanding;Danke für dein Verständnis.;Thanks for your understanding.;noun;فهم;n;;understanding;;;
2908;sowie;as well as;Sie spricht Deutsch sowie Englisch.;She speaks German as well as English.;conjunction;وكمان;;;as well as;;;
2909;Krise;crisis;Die Firma steckt in einer Krise.;The company is in a crisis.;noun;أزمة;f;;crisis;;;
2910;Ethan;Ethan;Ethan ist gestern angekommen.;Ethan arrived yesterday.;noun;إيثان;;;Ethan;;;
2911;Coach;coach;Der Coach motiviert das Team.;The coach motivates the team.;noun;كوتش;m;;coach;;;
2912;Eimer;bucket;Der Eimer ist echt voll mit Wasser.;The bucket is really full of water.;noun;جردل;m;;bucket;;;
2913;Dreckskerl;bastard / scumbag;Dieser Dreckskerl hat mich belogen.;That bastard lied to me.;noun;وسخ (شتيمة);m;;bastard;;;
2914;Williams;Williams;Williams ist der neue Nachbar.;Williams is the new neighbor.;noun;ويليامز;;;Williams;;;
2915;Wohnzimmer;living room;Wir sitzen im Wohnzimmer.;We are sitting in the living room.;noun;الصالون / أوضة المعيشة;n;;living room;;;
2916;vergraben;to bury (an object);Sie haben die Kiste im Wald vergraben.;They buried the box in the forest.;verb;يدفن;;;buried;;;
2917;umwerfend;stunning;Sie sieht heute umwerfend aus.;She looks stunning today.;adjective;مذهل;;;stunning;;;
2918;aufgeführt;performed / listed;Das Stück wurde gestern aufgeführt.;The play was performed yesterday.;verb;اتعرض / اتقدم;;;performed;;;
2919;entworfen;designed;Das Haus wurde von ihm entworfen.;The house was designed by him.;verb;مصمّم;;;designed;;;
2920;Café;café;Wir treffen uns im Café.;We are meeting at the café.;noun;كافيه;n;;caf;;;
2921;Florida;Florida;Sie fliegen nach Florida.;They are flying to Florida.;noun;فلوريدا;n;;Florida;;;
2922;belasten;to burden / strain;Diese Verantwortung belastet ihn.;This responsibility burdens him.;verb;يضغط / يثقل;;belastet;burdens;;;
2923;Einfahrt;driveway / entrance;Park nicht vor der Einfahrt.;Don’t park in front of the driveway.;noun;مدخل عربية;f;;driveway;;;
2924;Aufregung;excitement;In der Aufregung habe ich alles vergessen.;In the excitement, I forgot everything.;noun;إثارة / توتر;f;;excitement;;;
2925;Anwesenheit;presence;In seiner Anwesenheit bin ich nervös.;In his presence, I get nervous.;noun;وجود;f;;presence;;;
2926;beachten;to pay attention to / follow;Bitte beachten Sie die Regeln.;Please follow the rules.;verb;يلاحظ / يراعي;;;follow;;;
2927;überwinden;to overcome;Er muss seine Angst überwinden.;He has to overcome his fear.;verb;يتغلب على;;;overcome;;;
2928;Nicole;Nicole;Nicole kommt später.;Nicole is coming later.;noun;نيكول;;;Nicole;;;
2929;Werbung;advertisement;Die Werbung läuft im Fernsehen.;The advertisement is running on TV.;noun;إعلان;f;;advertisement;;;
2930;geistig;mental / intellectual;Er ist geistig echt fit.;He is mentally really fit.;adjective;ذهني;;;mentally;;;
2931;Puls;pulse;Der Puls des Patienten ist echt stabil.;The patient’s pulse is really stable.;noun;نبض;m;;pulse;;;
2932;Christine;Christine;Christine hat mich angerufen.;Christine called me.;noun;كريستين;;;Christine;;;
2933;Sensoren;sensors;Die Sensoren reagieren auf Bewegung.;The sensors react to movement.;noun;حساسات;m;;sensors;;;
2934;Aufstieg;ascent / promotion;Der Aufstieg war echt anstrengend.;The climb was really exhausting.;noun;صعود;m;;climb;;;
2935;Kloster;monastery;Der Mönch lebt im Kloster.;The monk lives in the monastery.;noun;دير;n;;monastery;;;
2936;gießen;to pour / water (plants);Ich muss die Blumen gießen.;I need to water the flowers.;verb;يسقي;;;water;;;
2937;Aktivitäten;activities;Welche Aktivitäten gibt es heute?;What activities are there today?;noun;أنشطة;f;;activities;;;
2938;verdeckt;hidden / undercover;Er arbeitet verdeckt für die Polizei.;He works undercover for the police.;adjective;مستخبي;;;undercover;;;
2939;beauftragt;assigned / commissioned;Er wurde gerade mit der Aufgabe beauftragt.;He was assigned the task just now.;verb;مكلّف;;;assigned;;;
2940;Zone;zone;Dies ist eine gefährliche Zone.;This is a dangerous zone.;noun;منطقة;f;;zone;;;
2941;Quartier;quarters / district;Wir suchen ein neues Quartier.;We are looking for new quarters.;noun;سكن / مقر;n;;quarters;;;
2942;Früchte;fruits;Die Früchte sind echt reif.;The fruits are really ripe.;noun;فاكهة;f;;fruits;;;
2943;Bienen;bees;Die Bienen fliegen um den Stock.;The bees are flying around the hive.;noun;نحل;f;;bees;;;
2944;mitspielen;to join in / play along;Kann ich beim Spiel mitspielen?;Can I join the game?;verb;يشارك في اللعب;;;join;;;
2945;Mona;Mona;Mona wartet draußen.;Mona is waiting outside.;noun;مونا;;;Mona;;;
2946;Moskau;Moscow;Er reist nach Moskau.;He is traveling to Moscow.;noun;موسكو;n;;Moscow;;;
2947;Psychiater;psychiatrist;Ich habe morgen einen Termin beim Psychiater.;I have an appointment with the psychiatrist tomorrow.;noun;طبيب نفسي;m;;psychiatrist;;;
2948;sozialen;;;;;;;;;;;
2949;Penis;;;;;;;;;;;
2950;Schwachkopf;;;;;;;;;;;
2951;Meldung;;;;;;;;;;;
2952;Vorhang;;;;;;;;;;;
2953;sämtliche;;;;;;;;;;;
2954;Einrichtung;;;;;;;;;;;
2955;doof;;;;;;;;;;;
2956;Koordinaten;;;;;;;;;;;
2957;Nahrung;;;;;;;;;;;
2958;Daumen;;;;;;;;;;;
2959;Dschungel;;;;;;;;;;;
2960;Louise;;;;;;;;;;;
2961;Unterwäsche;;;;;;;;;;;
2962;durchkommen;;;;;;;;;;;
2963;hurra;;;;;;;;;;;
2964;Detektiv;;;;;;;;;;;
2965;Kummer;;;;;;;;;;;
2966;abgerissen;;;;;;;;;;;
2967;schwitzen;;;;;;;;;;;
2968;Krawatte;;;;;;;;;;;
2969;beworben;;;;;;;;;;;
2970;marschieren;;;;;;;;;;;
2971;nö;;;;;;;;;;;
2972;Villa;;;;;;;;;;;
2973;Ziege;;;;;;;;;;;
2974;Ã„rztin;;;;;;;;;;;
2975;aufschreiben;;;;;;;;;;;
2976;Sorte;;;;;;;;;;;
2977;Spinner;;;;;;;;;;;
2978;Whiskey;;;;;;;;;;;
2979;elektrischen;;;;;;;;;;;
2980;sichergehen;;;;;;;;;;;
2981;Alptraum;;;;;;;;;;;
2982;Vorräte;;;;;;;;;;;
2983;Kommentar;;;;;;;;;;;
2984;Römer;;;;;;;;;;;
2985;Niere;;;;;;;;;;;
2986;Mars;;;;;;;;;;;
2987;Dateien;;;;;;;;;;;
2988;Master;;;;;;;;;;;
2989;ausreichend;;;;;;;;;;;
2990;behindert;;;;;;;;;;;
2991;Schachtel;;;;;;;;;;;
2992;anvertrauen;;;;;;;;;;;
2993;Drohung;;;;;;;;;;;
2994;Schwuchtel;;;;;;;;;;;
2995;Ente;;;;;;;;;;;
2996;kreischen;;;;;;;;;;;
2997;schubsen;;;;;;;;;;;
2998;Kutsche;;;;;;;;;;;
2999;tüte;;;;;;;;;;;
3000;Einspruch;;;;;;;;;;;
3001;Scheibe;;;;;;;;;;;
3002;Gerede;;;;;;;;;;;
3003;Fußball;;;;;;;;;;;
3004;durchaus;;;;;;;;;;;
3005;Akzent;;;;;;;;;;;
3006;Mia;;;;;;;;;;;
3007;Nichte;;;;;;;;;;;
3008;quer;;;;;;;;;;;
3009;erfordert;;;;;;;;;;;
3010;herunter;;;;;;;;;;;
3011;kippen;;;;;;;;;;;
3012;analysieren;;;;;;;;;;;
3013;Sektor;;;;;;;;;;;
3014;feindliche;;;;;;;;;;;
3015;inspiriert;;;;;;;;;;;
3016;mysteriöse;;;;;;;;;;;
3017;Shuttle;;;;;;;;;;;
3018;moralische;;;;;;;;;;;
3019;Wettbewerb;;;;;;;;;;;
3020;belegt;;;;;;;;;;;
3021;glotzt;;;;;;;;;;;
3022;anzünden;;;;;;;;;;;
3023;beurteilen;;;;;;;;;;;
3024;Politiker;;;;;;;;;;;
3025;Sirene;;;;;;;;;;;
3026;zurzeit;;;;;;;;;;;
3027;Entwicklung;;;;;;;;;;;
3028;Schießerei;;;;;;;;;;;
3029;vorübergehend;;;;;;;;;;;
3030;eventuell;;;;;;;;;;;
3031;draus;;;;;;;;;;;
3032;Getränke;;;;;;;;;;;
3033;Sieger;;;;;;;;;;;
3034;verschwiegen;;;;;;;;;;;
3035;Loyalität;;;;;;;;;;;
3036;Kabel;;;;;;;;;;;
3037;religiöse;;;;;;;;;;;
3038;rauschen;;;;;;;;;;;
3039;leugnen;;;;;;;;;;;
3040;Yang;;;;;;;;;;;
3041;egoistisch;;;;;;;;;;;
3042;saufen;;;;;;;;;;;
3043;Vortrag;;;;;;;;;;;
3044;Horn;;;;;;;;;;;
3045;Muskeln;;;;;;;;;;;
3046;Stimmengewirr;;;;;;;;;;;
3047;Zwischenzeit;;;;;;;;;;;
3048;deprimiert;;;;;;;;;;;
3049;Oberfläche;;;;;;;;;;;
3050;Vergebung;;;;;;;;;;;
3051;Teenager;;;;;;;;;;;
3052;Anfall;;;;;;;;;;;
3053;Bevölkerung;;;;;;;;;;;
3054;Single;;;;;;;;;;;
3055;Koma;;;;;;;;;;;
3056;Atmosphäre;;;;;;;;;;;
3057;begehrt;;;;;;;;;;;
3058;Galaxie;;;;;;;;;;;
3059;Gene;;;;;;;;;;;
3060;Steak;;;;;;;;;;;
3061;Zoo;;;;;;;;;;;
3062;karre;;;;;;;;;;;
3063;Jan;;;;;;;;;;;
3064;nochmals;;;;;;;;;;;
3065;Temperatur;;;;;;;;;;;
3066;Wodka;;;;;;;;;;;
3067;ansteckend;;;;;;;;;;;
3068;neigen;;;;;;;;;;;
3069;Zerstörung;;;;;;;;;;;
3070;Grundstück;;;;;;;;;;;
